user_id,user_type,signup_date,first_visit_date,last_active_date,institution_or_company,country,traffic_source,device_type,total_sessions,total_pageviews,avg_session_duration_sec,papers_analyzed,reports_downloaded,used_crs_score,used_gap_analysis,used_industry_fit,used_comparison_tool,used_pitch_export,used_due_diligence,used_ip_patent_check,converted_to_paid,plan_purchased,payment_amount_inr,days_to_conversion,payment_date,churned,support_tickets_raised
usr_4d33870c8d,researcher,2026-06-06,2026-06-06,2026-07-20,BITS Pilani,India,organic_search,desktop,9,72,122,5,1,True,False,True,False,False,,,False,none,0,,,False,0
usr_52261c6635,researcher,2026-06-16,2026-06-16,2026-06-29,BITS Pilani,India,direct,desktop,1,4,82,1,1,True,True,True,False,False,,,False,none,0,,,False,0
usr_2fe1f82fac,researcher,2026-02-09,2026-02-09,2026-05-04,Delhi University,Germany,organic_search,desktop,1,8,101,1,0,True,True,False,False,False,,,False,none,0,,,True,0
usr_8feba815b0,researcher,2026-01-19,2026-01-19,2026-06-30,NIT Trichy,India,email_campaign,desktop,8,56,196,0,0,False,True,True,False,False,,,False,none,0,,,False,1
usr_eb4cc2db9b,industry,2026-02-02,2026-02-02,2026-07-22,Helios Renewables,India,organic_search,desktop,7,28,269,9,5,,,True,True,False,True,False,False,none,0,,,False,0
usr_301e2727f1,industry,2026-06-10,2026-06-10,2026-07-19,Prime Biotech,India,word_of_mouth,desktop,11,99,424,5,5,,,True,True,False,False,True,False,none,0,,,False,0
usr_86e0fa94fd,industry,2026-05-11,2026-05-11,2026-06-01,GreenGrid Energy,India,direct,mobile,12,120,205,12,4,,,True,False,True,True,False,False,none,0,,,True,0
usr_35583954d2,researcher,2026-07-17,2026-07-17,2026-07-19,IIT Delhi,UAE,organic_search,desktop,1,6,20,2,2,True,True,False,True,False,,,False,none,0,,,False,0
usr_4865b3e932,researcher,2026-05-07,2026-05-07,2026-07-13,IIITD,USA,linkedin,mobile,4,36,273,5,3,True,True,True,False,False,,,False,none,0,,,False,0
usr_07f19b9421,researcher,2026-06-21,2026-06-21,2026-07-24,NIT Trichy,India,industry_event,mobile,1,3,310,3,2,True,True,True,False,False,,,False,none,0,,,False,0
usr_2fb26c3b11,industry,2026-06-05,2026-06-05,2026-06-10,DeepCore AI,Germany,industry_event,desktop,14,140,221,6,3,,,True,True,False,True,False,True,industry_premium,20000,17,2026-06-22,False,0
usr_82cf1f49a4,researcher,2026-07-12,2026-07-12,2026-07-17,IIT Hyderabad,India,university_partner,desktop,5,20,235,0,0,False,False,False,False,False,,,False,none,0,,,False,2
usr_5793991b04,researcher,2026-05-16,2026-05-16,2026-07-12,Delhi University,India,google_ads,mobile,5,45,225,1,0,True,False,True,False,False,,,False,none,0,,,False,0
usr_821b47ea89,researcher,2026-01-16,2026-01-16,2026-02-02,Anna University,India,linkedin,desktop,6,24,153,5,3,True,True,True,False,False,,,False,none,0,,,True,0
usr_d7dc6d544b,researcher,2026-03-12,2026-03-12,2026-06-12,IIT Delhi,India,university_partner,desktop,11,88,245,1,0,True,True,True,False,False,,,True,researcher_basic,300,16,2026-03-28,False,0
usr_cbc70dbaef,industry,2026-07-16,2026-07-16,2026-07-21,Fusion Dynamics Corp,USA,email_campaign,mobile,3,30,305,8,3,,,True,False,False,True,False,False,none,0,,,False,0
usr_1334d069d5,researcher,2026-06-29,2026-06-29,2026-07-12,IIT Hyderabad,Singapore,google_ads,desktop,4,24,260,3,3,True,True,True,True,False,,,False,none,0,,,False,0
usr_67b934f569,industry,2026-05-03,2026-05-03,2026-07-14,Fusion Dynamics Corp,India,university_partner,desktop,3,15,385,14,2,,,True,False,True,True,True,False,none,0,,,False,0
usr_f0fa572f78,researcher,2026-04-23,2026-04-23,2026-05-23,NIT Trichy,India,email_campaign,desktop,7,35,68,0,0,False,True,True,False,False,,,False,none,0,,,False,0
usr_f6c0f6cb40,researcher,2026-07-18,2026-07-18,2026-07-22,Anna University,India,linkedin,desktop,3,24,230,0,0,False,False,False,False,False,,,False,none,0,,,False,0
usr_20c54e7a97,industry,2026-04-20,2026-04-20,2026-06-20,Vertex Manufacturing,India,google_ads,desktop,10,120,245,3,1,,,True,True,False,False,True,False,none,0,,,False,1
usr_86aea66473,researcher,2026-04-21,2026-04-21,2026-06-24,IIT Kanpur,India,industry_event,mobile,1,5,110,4,1,True,True,True,False,False,,,False,none,0,,,False,0
usr_350c276580,researcher,2026-02-05,2026-02-05,2026-03-24,IIT Roorkee,Singapore,word_of_mouth,desktop,4,36,281,1,0,True,False,True,False,False,,,False,none,0,,,True,0
usr_cbe94b663d,researcher,2026-02-06,2026-02-06,2026-04-27,IIT Roorkee,USA,linkedin,mobile,4,28,94,2,2,True,True,False,False,False,,,False,none,0,,,False,0
usr_59bfc1e9a9,researcher,2026-04-20,2026-04-20,2026-06-08,IISc Bangalore,India,industry_event,mobile,9,45,186,0,0,False,False,True,False,False,,,False,none,0,,,False,0
usr_91d841f414,researcher,2026-07-22,2026-07-22,2026-07-24,Anna University,Germany,direct,desktop,2,14,234,5,3,True,True,True,True,False,,,False,none,0,,,False,0
usr_c06ea7f213,researcher,2026-03-20,2026-03-20,2026-03-28,IIT Roorkee,India,email_campaign,mobile,1,8,20,0,0,False,False,True,False,False,,,False,none,0,,,False,1
usr_4aa25239e3,researcher,2026-04-12,2026-04-12,2026-04-28,IIT Bombay,Germany,university_partner,mobile,9,63,196,3,0,True,False,True,False,False,,,False,none,0,,,True,0
usr_e22337d93e,researcher,2026-01-20,2026-01-20,2026-03-11,BITS Pilani,India,organic_search,desktop,6,54,216,3,2,True,True,True,False,False,,,True,researcher_basic,300,19,2026-02-08,False,0
usr_3d9d49cfb8,industry,2026-04-27,2026-04-27,2026-06-04,Quantum Analytics Inc,India,google_ads,desktop,1,6,157,12,1,,,True,True,False,False,True,False,none,0,,,True,1
usr_a85b838a28,researcher,2026-01-26,2026-01-26,2026-05-11,IIT Madras,Singapore,direct,tablet,3,18,224,2,1,True,True,True,True,False,,,False,none,0,,,True,0
usr_e1cb4669c4,industry,2026-02-05,2026-02-05,2026-06-02,NextGen Pharma,India,referral,mobile,18,180,470,9,2,,,True,False,True,False,False,False,none,0,,,False,1
usr_3bb2c6ed3a,researcher,2026-07-12,2026-07-12,2026-07-25,Anna University,Germany,industry_event,mobile,1,7,104,5,5,True,True,True,True,False,,,False,none,0,,,False,0
usr_85e3601ae9,industry,2026-02-06,2026-02-06,2026-03-10,Helios Renewables,Germany,word_of_mouth,mobile,13,91,434,5,3,,,True,True,False,False,False,False,none,0,,,True,0
usr_cd0fa58cc8,researcher,2026-03-15,2026-03-15,2026-04-30,IIT Roorkee,Singapore,word_of_mouth,tablet,10,30,108,5,3,True,True,False,True,False,,,False,none,0,,,False,1
usr_424735794c,industry,2026-04-01,2026-04-01,2026-07-17,MedTech Solutions,India,university_partner,mobile,4,28,135,9,3,,,True,True,True,False,False,False,none,0,,,False,1
usr_fcc990ee5f,researcher,2026-02-09,2026-02-09,2026-03-07,BITS Pilani,India,industry_event,desktop,1,5,38,1,1,True,True,True,False,False,,,False,none,0,,,False,2
usr_883e037703,researcher,2026-02-12,2026-02-12,2026-04-02,BITS Pilani,India,email_campaign,desktop,7,56,189,1,0,True,False,False,False,False,,,False,none,0,,,True,1
usr_c96509be73,researcher,2026-05-19,2026-05-19,2026-07-10,Delhi University,India,organic_search,tablet,7,63,258,3,3,True,True,True,True,True,,,False,none,0,,,False,0
usr_2db1271528,industry,2026-06-16,2026-06-16,2026-07-16,Prime Biotech,India,industry_event,mobile,7,28,250,7,4,,,True,True,True,False,True,False,none,0,,,False,0
usr_734879e276,researcher,2026-05-14,2026-05-14,2026-07-22,NIT Trichy,India,linkedin,mobile,9,36,104,5,4,True,True,False,False,False,,,False,none,0,,,False,0
usr_ff9d5ba363,industry,2026-04-16,2026-04-16,2026-07-05,TerraSoil Agritech,Singapore,word_of_mouth,mobile,9,54,379,13,1,,,False,True,False,True,True,True,industry_standard,15000,51,2026-06-06,False,0
usr_2f00956f47,researcher,2026-06-20,2026-06-20,2026-07-20,IIT Bombay,India,google_ads,mobile,9,72,98,4,4,True,False,True,True,False,,,True,researcher_basic,300,21,2026-07-11,False,1
usr_404b0490ad,industry,2026-07-16,2026-07-16,2026-07-19,Vertex Manufacturing,India,referral,tablet,7,28,201,4,4,,,True,True,False,False,True,False,none,0,,,False,0
usr_d190735f2e,researcher,2026-02-15,2026-02-15,2026-04-07,IIITD,India,word_of_mouth,mobile,4,28,183,1,1,True,True,True,False,False,,,False,none,0,,,False,1
usr_f94a1233a0,industry,2026-01-25,2026-01-25,2026-04-17,Nova Materials Pvt Ltd,India,linkedin,desktop,11,88,270,4,1,,,True,True,False,True,True,False,none,0,,,False,3
usr_bbc9719c9b,industry,2026-02-12,2026-02-12,2026-05-12,AgroFuture Labs,India,direct,desktop,2,12,317,10,4,,,False,True,False,False,False,False,none,0,,,False,2
usr_e038cd3ff9,industry,2026-06-26,2026-06-26,2026-07-10,Vertex Manufacturing,India,industry_event,desktop,11,99,368,14,0,,,False,True,False,True,True,True,industry_premium,20000,11,2026-07-07,False,0
usr_8d64a92a62,researcher,2026-04-07,2026-04-07,2026-05-27,IIT Madras,India,linkedin,mobile,1,3,107,2,2,True,True,True,False,False,,,False,none,0,,,False,0
usr_89a7ece105,researcher,2026-06-02,2026-06-02,2026-06-03,VIT Vellore,India,linkedin,desktop,11,66,155,2,0,True,False,False,False,False,,,False,none,0,,,True,0
usr_0419f6ff20,industry,2026-05-20,2026-05-20,2026-07-23,DeepCore AI,UAE,email_campaign,desktop,9,63,187,5,4,,,True,True,False,False,False,False,none,0,,,False,0
usr_d802b44a37,researcher,2026-06-25,2026-06-25,2026-07-24,NIT Trichy,India,direct,desktop,1,6,191,5,5,True,True,False,True,False,,,False,none,0,,,False,0
usr_1830e4c37e,researcher,2026-04-27,2026-04-27,2026-06-26,IIT Kanpur,India,google_ads,mobile,1,5,157,0,0,False,False,False,False,False,,,False,none,0,,,False,0
usr_3c7de89898,researcher,2026-01-05,2026-01-05,2026-06-04,Anna University,UAE,google_ads,mobile,6,36,37,0,0,False,True,False,False,False,,,False,none,0,,,True,0
usr_47ae0d6aa4,researcher,2026-02-03,2026-02-03,2026-06-05,IIT Bombay,UAE,google_ads,mobile,4,36,259,3,0,True,False,True,False,True,,,False,none,0,,,True,0
usr_ac368a4e07,industry,2026-01-05,2026-01-05,2026-01-12,DeepCore AI,India,email_campaign,desktop,7,35,366,4,0,,,True,False,False,False,True,False,none,0,,,True,1
usr_b54aed9eb9,researcher,2026-05-25,2026-05-25,2026-05-28,Delhi University,India,word_of_mouth,desktop,8,56,145,5,3,True,True,True,True,False,,,True,researcher_basic,300,17,2026-06-11,False,0
usr_f2c42cdd37,researcher,2026-06-25,2026-06-25,2026-07-09,IIT Delhi,India,email_campaign,desktop,8,40,183,0,0,False,True,True,False,False,,,False,none,0,,,False,0
usr_9bfcde0340,researcher,2026-05-06,2026-05-06,2026-05-20,IIT Madras,Germany,industry_event,desktop,1,3,230,2,0,True,True,False,False,False,,,False,none,0,,,True,1
usr_9d5c4677a1,researcher,2026-01-06,2026-01-06,2026-04-27,Anna University,Singapore,google_ads,desktop,1,5,270,2,1,True,True,False,False,False,,,False,none,0,,,True,2
usr_80cc3cb1c4,researcher,2026-03-08,2026-03-08,2026-05-24,Anna University,India,industry_event,mobile,10,30,303,1,1,True,False,False,False,False,,,False,none,0,,,True,0
usr_6c406d70bb,industry,2026-02-17,2026-02-17,2026-04-06,IronClad Defense Systems,India,email_campaign,desktop,1,8,311,3,1,,,True,True,False,True,False,True,industry_standard,15000,36,2026-03-25,False,1
usr_729500225f,researcher,2026-05-12,2026-05-12,2026-07-25,NIT Trichy,India,organic_search,mobile,4,36,253,5,2,True,True,False,False,False,,,True,researcher_basic,300,16,2026-05-28,False,0
usr_bc66e1029d,industry,2026-03-17,2026-03-17,2026-06-21,Quantum Analytics Inc,India,university_partner,desktop,9,63,408,2,2,,,True,False,True,True,False,False,none,0,,,False,0
usr_344d72d14f,researcher,2026-05-26,2026-05-26,2026-06-02,IISc Bangalore,UAE,google_ads,desktop,3,21,444,1,1,True,False,True,False,False,,,False,none,0,,,True,0
usr_c5b50eb137,researcher,2026-04-24,2026-04-24,2026-05-25,BITS Pilani,India,direct,tablet,6,30,149,5,1,True,True,False,False,False,,,False,none,0,,,True,0
usr_dfd2729734,researcher,2026-07-02,2026-07-02,2026-07-04,Jadavpur University,India,google_ads,mobile,3,12,105,0,0,False,False,True,True,False,,,False,none,0,,,False,0
usr_d7e9cd1a32,researcher,2026-01-22,2026-01-22,2026-03-02,IIT Roorkee,Singapore,word_of_mouth,desktop,6,18,151,5,0,True,False,True,False,False,,,False,none,0,,,True,0
usr_65823d8457,industry,2026-07-19,2026-07-19,2026-07-22,Helios Renewables,India,google_ads,desktop,12,72,315,11,0,,,True,False,True,False,False,False,none,0,,,False,0
usr_f45d1a13f7,researcher,2026-04-03,2026-04-03,2026-05-19,NIT Trichy,India,industry_event,desktop,7,63,236,1,0,True,True,True,True,False,,,False,none,0,,,False,0
usr_3ae75140f6,industry,2026-05-08,2026-05-08,2026-07-16,Quantum Analytics Inc,Germany,word_of_mouth,mobile,10,70,314,5,5,,,False,False,False,False,False,False,none,0,,,False,1
usr_33c9c86b6a,industry,2026-04-20,2026-04-20,2026-05-08,GreenGrid Energy,Germany,direct,desktop,7,70,228,5,0,,,True,False,False,False,False,False,none,0,,,True,2
usr_bb4f4068d4,industry,2026-01-22,2026-01-22,2026-06-25,Fusion Dynamics Corp,Singapore,direct,mobile,13,78,432,7,0,,,True,True,False,False,False,False,none,0,,,False,1
usr_98684bb803,researcher,2026-07-14,2026-07-14,2026-07-22,IIT Madras,India,referral,mobile,12,72,155,3,3,True,True,False,False,True,,,False,none,0,,,False,0
usr_a12759fb87,researcher,2026-07-09,2026-07-09,2026-07-12,IIT Hyderabad,India,linkedin,mobile,4,16,44,3,1,True,True,True,False,False,,,False,none,0,,,False,0
usr_53edc96238,researcher,2026-05-09,2026-05-09,2026-05-17,IIT Hyderabad,USA,linkedin,mobile,1,3,232,5,2,True,True,False,False,False,,,False,none,0,,,False,1
usr_2ec5306b63,industry,2026-06-13,2026-06-13,2026-07-21,Bharat Semiconductors,India,direct,mobile,9,108,246,4,2,,,False,False,False,False,False,False,none,0,,,False,0
usr_d08ee3740c,researcher,2026-04-26,2026-04-26,2026-06-08,IIT Bombay,India,direct,desktop,2,18,268,2,2,True,True,True,False,False,,,False,none,0,,,False,0
usr_729224c878,researcher,2026-02-06,2026-02-06,2026-03-25,IIT Hyderabad,USA,industry_event,mobile,4,32,120,2,0,True,False,False,True,False,,,True,researcher_basic,300,17,2026-02-23,False,0
usr_95039d4e85,researcher,2026-03-15,2026-03-15,2026-03-27,Anna University,India,direct,mobile,10,40,177,3,0,True,False,False,False,False,,,False,none,0,,,True,0
usr_8fb824a8d8,industry,2026-06-27,2026-06-27,2026-07-13,Skyline Robotics,Germany,direct,desktop,4,20,211,5,1,,,True,True,True,True,False,False,none,0,,,False,1
usr_b701c1af3a,researcher,2026-03-16,2026-03-16,2026-05-14,IIT Bombay,India,google_ads,desktop,4,24,44,2,1,True,True,True,False,False,,,False,none,0,,,True,0
usr_7d344b015a,researcher,2026-01-17,2026-01-17,2026-07-01,Anna University,India,organic_search,desktop,6,54,143,5,3,True,True,True,False,True,,,False,none,0,,,False,0
usr_7176ada2a8,researcher,2026-07-20,2026-07-20,2026-07-24,NIT Trichy,Singapore,organic_search,desktop,13,52,56,1,1,True,False,False,False,True,,,False,none,0,,,False,1
usr_a945a54a1f,researcher,2026-03-12,2026-03-12,2026-06-17,IIT Delhi,India,referral,mobile,3,15,196,3,2,True,False,True,True,False,,,False,none,0,,,True,1
usr_17be4f6a55,researcher,2026-06-15,2026-06-15,2026-07-15,BITS Pilani,Singapore,email_campaign,desktop,4,16,267,5,1,True,True,False,True,False,,,False,none,0,,,False,0
usr_eee48f0cee,researcher,2026-01-19,2026-01-19,2026-03-05,IIITD,Singapore,linkedin,mobile,1,4,137,0,0,False,True,True,False,False,,,False,none,0,,,True,0
usr_3b38922d93,researcher,2026-03-04,2026-03-04,2026-05-15,IIT Delhi,India,email_campaign,desktop,1,5,222,3,0,True,False,False,True,False,,,False,none,0,,,True,0
usr_c23b4a38f5,researcher,2026-02-17,2026-02-17,2026-05-21,IIT Madras,India,google_ads,mobile,5,20,135,5,1,True,True,True,False,False,,,False,none,0,,,True,0
usr_1b9400428e,industry,2026-04-07,2026-04-07,2026-06-28,Helios Renewables,India,university_partner,mobile,10,110,492,10,3,,,True,True,False,True,False,False,none,0,,,False,0
usr_c1c2578b9f,researcher,2026-02-23,2026-02-23,2026-05-22,IIT Roorkee,India,google_ads,mobile,3,21,20,3,0,True,False,False,True,False,,,True,researcher_basic,300,5,2026-02-28,False,0
usr_1d5e87b4a3,researcher,2026-06-25,2026-06-25,2026-07-22,IISc Bangalore,India,organic_search,tablet,5,45,155,0,0,False,True,False,False,False,,,True,researcher_basic,300,10,2026-07-05,False,1
usr_dd7aec14c0,industry,2026-07-20,2026-07-20,2026-07-23,DeepCore AI,India,organic_search,desktop,2,10,281,13,1,,,False,True,True,False,False,True,industry_premium,20000,58,2026-09-16,False,0
usr_a48d94401d,researcher,2026-06-27,2026-06-27,2026-07-07,IIT Delhi,India,university_partner,mobile,6,48,92,1,0,True,True,True,True,False,,,False,none,0,,,False,0
usr_fa32ccf300,researcher,2026-04-19,2026-04-19,2026-05-03,IIITD,India,organic_search,desktop,11,66,95,0,0,False,True,False,False,False,,,False,none,0,,,False,1
usr_997abff77c,researcher,2026-06-22,2026-06-22,2026-07-03,Jadavpur University,India,email_campaign,mobile,10,70,168,2,1,True,True,False,True,True,,,False,none,0,,,False,0
usr_1133ccf5b5,researcher,2026-02-14,2026-02-14,2026-03-26,IIT Bombay,USA,referral,desktop,6,30,206,3,2,True,True,True,True,False,,,False,none,0,,,True,0
usr_3f614e66e6,researcher,2026-05-12,2026-05-12,2026-07-06,IIT Delhi,India,university_partner,desktop,8,48,158,0,0,False,False,True,False,False,,,False,none,0,,,False,1
usr_5030911b42,industry,2026-06-15,2026-06-15,2026-07-09,Skyline Robotics,India,university_partner,desktop,6,54,291,12,4,,,True,True,False,False,False,False,none,0,,,False,0
usr_8064e45d7c,industry,2026-05-13,2026-05-13,2026-06-23,IronClad Defense Systems,UAE,google_ads,desktop,13,130,437,14,4,,,True,False,False,True,False,False,none,0,,,False,0
usr_ce35d5d396,researcher,2026-07-17,2026-07-17,2026-07-21,IIT Kanpur,India,word_of_mouth,desktop,2,14,43,1,0,True,False,True,False,False,,,False,none,0,,,False,0
usr_b5dd88efd0,researcher,2026-03-22,2026-03-22,2026-06-25,IIT Roorkee,India,linkedin,mobile,4,28,135,2,2,True,False,False,True,False,,,False,none,0,,,False,0
usr_cb50dfe3e1,industry,2026-04-03,2026-04-03,2026-05-23,Nova Materials Pvt Ltd,India,organic_search,desktop,8,40,301,12,3,,,True,False,False,True,False,False,none,0,,,True,0
usr_bd319925b6,industry,2026-03-19,2026-03-19,2026-05-03,Fusion Dynamics Corp,Singapore,email_campaign,desktop,9,45,92,7,0,,,False,False,True,False,False,False,none,0,,,True,0
usr_358f2b91a6,researcher,2026-04-04,2026-04-04,2026-06-22,VIT Vellore,Germany,university_partner,mobile,4,28,221,5,0,True,True,False,True,False,,,False,none,0,,,False,0
usr_5a54e6a997,researcher,2026-02-07,2026-02-07,2026-04-23,VIT Vellore,UAE,referral,mobile,6,54,156,5,3,True,True,False,False,False,,,False,none,0,,,False,0
usr_203a0ea711,researcher,2026-07-12,2026-07-12,2026-07-20,IIT Delhi,USA,direct,desktop,12,48,324,0,0,False,True,True,False,False,,,False,none,0,,,False,0
usr_827841bc05,researcher,2026-01-12,2026-01-12,2026-03-15,Jadavpur University,India,referral,mobile,2,8,195,4,1,True,False,True,False,False,,,False,none,0,,,True,0
usr_f5e19ea571,researcher,2026-03-30,2026-03-30,2026-06-20,IISc Bangalore,India,email_campaign,mobile,6,24,135,2,1,True,True,True,False,False,,,False,none,0,,,True,0
usr_ac6c302a9b,researcher,2026-04-14,2026-04-14,2026-05-22,NIT Trichy,Germany,direct,desktop,8,48,247,1,1,True,False,False,False,False,,,False,none,0,,,True,0
usr_f94604360f,researcher,2026-01-09,2026-01-09,2026-01-14,Delhi University,UAE,organic_search,desktop,5,25,222,1,1,True,True,False,False,False,,,False,none,0,,,False,0
usr_0ba4459ab1,industry,2026-02-09,2026-02-09,2026-07-19,MedTech Solutions,India,organic_search,mobile,7,77,60,10,0,,,True,True,True,True,False,False,none,0,,,False,0
usr_bee44a2c78,researcher,2026-04-19,2026-04-19,2026-05-04,IIT Madras,UAE,email_campaign,mobile,9,72,211,5,5,True,True,False,False,False,,,True,researcher_basic,300,11,2026-04-30,False,0
usr_c7fe23a9f4,researcher,2026-02-10,2026-02-10,2026-07-14,NIT Trichy,India,email_campaign,desktop,13,91,101,0,0,False,True,True,False,False,,,False,none,0,,,False,0
usr_366fbd719a,researcher,2026-03-03,2026-03-03,2026-06-12,IIT Kanpur,India,google_ads,mobile,4,20,113,0,0,False,False,True,False,False,,,False,none,0,,,True,1
usr_cb75b772f9,industry,2026-05-26,2026-05-26,2026-07-24,Skyline Robotics,India,word_of_mouth,desktop,10,60,562,10,1,,,True,False,True,True,False,False,none,0,,,False,0
usr_350d0bef00,researcher,2026-01-05,2026-01-05,2026-04-18,BITS Pilani,India,university_partner,mobile,10,90,205,2,2,True,True,False,False,False,,,False,none,0,,,False,0
usr_93dc3bafbf,industry,2026-07-06,2026-07-06,2026-07-11,Vertex Manufacturing,India,university_partner,desktop,9,45,379,10,3,,,True,True,False,True,False,False,none,0,,,False,2
usr_d8548810ef,researcher,2026-04-27,2026-04-27,2026-05-11,IIT Roorkee,India,university_partner,mobile,10,40,216,5,4,True,True,True,False,False,,,False,none,0,,,True,0
usr_4720aa8202,researcher,2026-05-25,2026-05-25,2026-07-08,Jadavpur University,India,linkedin,desktop,3,9,340,5,3,True,False,False,True,False,,,True,researcher_basic,300,1,2026-05-26,False,0
usr_04111f1503,researcher,2026-02-15,2026-02-15,2026-07-23,BITS Pilani,India,email_campaign,desktop,12,84,218,1,1,True,True,False,False,False,,,False,none,0,,,False,1
usr_9b07d89f68,industry,2026-04-06,2026-04-06,2026-06-24,Quantum Analytics Inc,India,organic_search,desktop,19,76,155,15,4,,,False,True,True,False,False,False,none,0,,,False,3
usr_1a17f08bf0,researcher,2026-01-08,2026-01-08,2026-02-26,BITS Pilani,India,industry_event,mobile,10,60,20,0,0,False,False,False,False,False,,,False,none,0,,,True,0
usr_2bdb8a1578,researcher,2026-03-10,2026-03-10,2026-03-29,BITS Pilani,India,referral,desktop,2,8,96,3,0,True,True,False,False,False,,,False,none,0,,,True,1
usr_f7774a4e62,researcher,2026-04-09,2026-04-09,2026-06-10,IIT Bombay,Germany,industry_event,mobile,1,3,50,5,3,True,False,False,False,True,,,False,none,0,,,False,0
usr_e61d453c36,industry,2026-04-21,2026-04-21,2026-07-21,GreenGrid Energy,India,linkedin,desktop,6,30,353,14,2,,,False,True,True,False,True,False,none,0,,,False,0
usr_c2631fd1e7,researcher,2026-01-25,2026-01-25,2026-04-09,Delhi University,India,referral,desktop,8,72,109,0,0,False,False,False,False,True,,,True,researcher_basic,300,17,2026-02-11,False,0
usr_29b0233bad,researcher,2026-07-16,2026-07-16,2026-07-23,Delhi University,India,email_campaign,desktop,9,72,102,1,1,True,True,True,False,True,,,True,researcher_basic,300,17,2026-08-02,False,1
usr_d66e1528b4,industry,2026-03-15,2026-03-15,2026-05-15,Vertex Manufacturing,India,direct,mobile,16,160,241,6,5,,,True,True,False,False,False,True,industry_premium,20000,33,2026-04-17,False,0
usr_40abd82b37,researcher,2026-07-19,2026-07-19,2026-07-23,Jadavpur University,India,industry_event,desktop,8,32,154,5,4,True,True,True,False,False,,,False,none,0,,,False,0
usr_19cd377430,researcher,2026-03-13,2026-03-13,2026-04-22,Jadavpur University,India,email_campaign,desktop,3,12,213,0,0,False,True,True,True,False,,,False,none,0,,,False,1
usr_93d2d5053b,researcher,2026-03-09,2026-03-09,2026-06-19,IIT Delhi,India,referral,tablet,9,72,218,0,0,False,True,True,False,False,,,False,none,0,,,True,0
